iter	MultiClass
0	1.066067345
1	1.03321855
2	1.007543848
3	0.9826632795
4	0.9599090222
5	0.9388287576
6	0.9171478611
7	0.8965519769
8	0.8788717625
9	0.8618353171
10	0.8464524044
11	0.8313268732
12	0.8168601449
13	0.8056141761
14	0.7939428916
15	0.7829453267
16	0.7724918616
17	0.7618517146
18	0.7530246815
19	0.7437533789
20	0.7351875016
21	0.7267764244
22	0.71796647
23	0.7106276923
24	0.7033114166
25	0.6962827194
26	0.6889440717
27	0.6831798465
28	0.6772072621
29	0.671121413
30	0.665273486
31	0.6602235585
32	0.6548009517
33	0.649454671
34	0.6442136552
35	0.6399083108
36	0.6356298772
37	0.6316340517
38	0.627488042
39	0.6229568542
40	0.6190434516
41	0.6156563189
42	0.6121599876
43	0.6082226726
44	0.6047065196
45	0.6007625292
46	0.5980456457
47	0.5952485107
48	0.5920936045
49	0.5895355633
50	0.5864496875
51	0.5832827063
52	0.5806237001
53	0.5779946387
54	0.5755503348
55	0.573155259
56	0.5702508006
57	0.5678638447
58	0.5652558826
59	0.5629862932
60	0.5600859043
61	0.5574764159
62	0.5552838906
63	0.5528867427
64	0.550617356
65	0.5483093076
66	0.545994587
67	0.5440875352
68	0.5417176751
69	0.5392106711
70	0.5372368083
71	0.5352669856
72	0.5331709665
73	0.5307930351
74	0.5287220614
75	0.5272356641
76	0.5254887275
77	0.5232390967
78	0.5215118305
79	0.5194063206
80	0.5173142107
81	0.5150343093
82	0.5132940187
83	0.5113404875
84	0.5096720861
85	0.5077344975
86	0.5060308278
87	0.5039784085
88	0.5025203836
89	0.5010552783
90	0.4997446716
91	0.4987052283
92	0.497257822
93	0.495822095
94	0.4938885065
95	0.4921844558
96	0.4906667281
97	0.4891781534
98	0.4879522025
99	0.4861885972
100	0.4846197856
101	0.4829495755
102	0.481082343
103	0.4792804785
104	0.4781794783
105	0.4767828885
106	0.4755806211
107	0.4735847964
108	0.471603183
109	0.4695803714
110	0.4680338593
111	0.4667643406
112	0.4649301561
113	0.4635930881
114	0.4622287401
115	0.4608650729
116	0.4596883247
117	0.4592404225
118	0.4577903623
119	0.4567698719
120	0.4551623477
121	0.4538351908
122	0.4519496971
123	0.450518618
124	0.4484109855
125	0.4472003681
126	0.4458650304
127	0.444456848
128	0.4435702567
129	0.4422795663
130	0.4410855699
131	0.439569921
132	0.4380200867
133	0.4369467374
134	0.436274451
135	0.4348888254
136	0.4340133152
137	0.4323341609
138	0.430881368
139	0.4295192359
140	0.4281657228
141	0.4270403481
142	0.4254614998
143	0.4243698321
144	0.422989403
145	0.4219272927
146	0.420904876
147	0.4193457439
148	0.4182234868
149	0.4171661416
150	0.4155527025
151	0.414672995
152	0.4135577698
153	0.4126768473
154	0.4116899392
155	0.411057835
156	0.4101634034
157	0.4091904744
158	0.4077707423
159	0.406528188
160	0.4055422983
161	0.4049950787
162	0.4036592157
163	0.402352807
164	0.401547762
165	0.4004308457
166	0.3994311535
167	0.3982662324
168	0.3969827361
169	0.3959954008
170	0.3945021043
171	0.3932196072
172	0.3927650032
173	0.3919563
174	0.3904424853
175	0.3895207549
176	0.3884789552
177	0.3876605264
178	0.3866755382
179	0.3861267395
180	0.3851605226
181	0.383662833
182	0.3826912448
183	0.3818489266
184	0.3810736236
