iter	Passed	Remaining
0	48	24255
1	88	22015
2	126	20921
3	164	20393
4	204	20213
5	242	19958
6	281	19800
7	317	19526
8	355	19410
9	392	19217
10	429	19100
11	465	18928
12	502	18814
13	539	18718
14	575	18605
15	614	18579
16	650	18490
17	686	18386
18	725	18361
19	763	18325
20	801	18274
21	838	18218
22	876	18175
23	912	18104
24	949	18049
25	989	18047
26	1028	18026
27	1065	17963
28	1103	17920
29	1141	17883
30	1178	17836
31	1215	17780
32	1252	17722
33	1287	17648
34	1325	17604
35	1358	17513
36	1395	17460
37	1433	17425
38	1469	17373
39	1506	17321
40	1567	17547
41	1613	17597
42	1651	17548
43	1687	17486
44	1723	17427
45	1761	17383
46	1800	17350
47	1840	17327
48	1881	17313
49	1922	17298
50	1959	17255
51	1995	17192
52	2031	17132
53	2065	17060
54	2104	17028
55	2145	17008
56	2181	16954
57	2219	16910
58	2255	16858
59	2292	16812
60	2328	16760
61	2364	16704
62	2402	16664
63	2439	16619
64	2476	16574
65	2513	16530
66	2549	16478
67	2587	16438
68	2625	16399
69	2662	16353
70	2698	16306
71	2736	16269
72	2771	16212
73	2807	16161
74	2843	16112
75	2882	16079
76	2918	16034
77	2955	15991
78	2992	15945
79	3028	15901
80	3065	15858
81	3104	15826
82	3142	15788
83	3179	15744
84	3215	15698
85	3253	15660
86	3293	15632
87	3330	15591
88	3366	15544
89	3403	15506
90	3442	15472
91	3479	15431
92	3517	15392
93	3553	15346
94	3588	15299
95	3627	15265
96	3663	15222
97	3699	15176
98	3737	15136
99	3772	15090
100	3808	15044
101	3843	14998
102	3879	14953
103	3920	14927
104	3959	14893
105	3995	14850
106	4032	14811
107	4076	14796
108	4115	14763
109	4160	14752
110	4201	14725
111	4237	14680
112	4278	14651
113	4314	14607
114	4350	14563
115	4387	14523
116	4425	14485
117	4460	14440
118	4496	14395
119	4534	14360
120	4572	14321
121	4610	14284
122	4647	14245
123	4685	14207
124	4721	14164
125	4759	14127
126	4795	14085
127	4833	14047
128	4870	14006
129	4905	13961
130	4942	13921
131	4979	13882
132	5015	13838
133	5051	13796
134	5089	13759
135	5127	13724
136	5164	13685
137	5204	13652
138	5244	13620
139	5283	13586
140	5321	13548
141	5357	13507
142	5395	13468
143	5431	13428
144	5468	13389
145	5511	13362
146	5548	13323
147	5588	13291
148	5628	13258
149	5665	13218
150	5702	13179
151	5740	13141
152	5776	13100
153	5813	13062
154	5852	13025
155	5893	12996
156	5934	12965
157	5976	12936
158	6015	12900
159	6054	12865
160	6091	12825
161	6127	12783
162	6165	12748
163	6201	12705
164	6241	12671
165	6282	12640
166	6320	12602
167	6359	12568
168	6399	12534
169	6437	12496
170	6476	12460
171	6516	12426
172	6552	12384
173	6589	12345
174	6629	12312
175	6667	12273
176	6707	12240
177	6745	12202
178	6781	12161
179	6818	12120
180	6858	12087
181	6895	12048
182	6934	12011
183	6970	11971
184	7008	11933
185	7044	11892
186	7082	11854
187	7119	11815
188	7157	11778
189	7192	11735
190	7229	11696
191	7268	11660
192	7308	11624
193	7345	11586
194	7384	11549
195	7420	11508
196	7455	11467
197	7495	11432
198	7532	11392
199	7568	11352
200	7608	11317
201	7644	11277
202	7680	11236
203	7718	11199
204	7755	11160
205	7794	11123
206	7832	11087
207	7870	11048
208	7908	11011
209	7944	10970
210	7979	10928
211	8018	10892
212	8056	10855
213	8094	10818
214	8129	10776
215	8165	10736
216	8201	10696
217	8240	10660
218	8278	10622
219	8317	10585
220	8354	10546
221	8394	10511
222	8431	10473
223	8469	10435
224	8508	10399
225	8544	10359
226	8582	10321
227	8622	10286
228	8662	10250
229	8699	10212
230	8738	10176
231	8777	10139
232	8816	10103
233	8853	10064
234	8890	10025
235	8928	9987
236	8964	9948
237	9001	9909
238	9037	9869
239	9074	9830
240	9113	9793
241	9151	9756
242	9187	9716
243	9223	9677
244	9261	9639
245	9300	9603
246	9338	9565
247	9380	9532
248	9419	9495
249	9456	9456
250	9494	9418
251	9531	9379
252	9569	9342
253	9608	9306
254	9647	9268
255	9682	9228
256	9720	9191
257	9756	9151
258	9793	9112
259	9831	9074
260	9869	9038
261	9907	8999
262	9944	8960
263	9980	8921
264	10019	8884
265	10054	8845
266	10094	8808
267	10132	8771
268	10170	8733
269	10206	8694
270	10245	8658
271	10283	8620
272	10321	8582
273	10357	8543
274	10396	8505
275	10434	8468
276	10472	8430
277	10511	8393
278	10547	8355
279	10590	8320
280	10626	8282
281	10663	8243
282	10702	8206
283	10739	8167
284	10775	8129
285	10811	8089
286	10846	8049
287	10885	8013
288	10925	7976
289	10963	7939
290	11003	7902
291	11041	7865
292	11078	7826
293	11115	7788
294	11155	7751
295	11191	7712
296	11230	7675
297	11303	7661
298	11341	7623
299	11378	7585
300	11415	7546
301	11453	7509
302	11492	7472
303	11529	7433
304	11567	7395
305	11605	7357
306	11641	7318
307	11678	7280
308	11715	7241
309	11753	7203
310	11793	7167
311	11829	7128
312	11865	7089
313	11903	7051
314	11938	7011
315	11975	6973
316	12014	6935
317	12049	6896
318	12085	6857
319	12122	6818
320	12157	6779
321	12194	6741
322	12231	6702
323	12267	6664
324	12304	6625
325	12340	6586
326	12376	6548
327	12414	6510
328	12451	6471
329	12490	6434
330	12527	6396
331	12565	6358
332	12603	6320
333	12642	6283
334	12681	6246
335	12718	6207
336	12755	6169
337	12792	6131
338	12828	6092
339	12868	6055
340	12906	6017
341	12943	5979
342	12978	5940
343	13016	5902
344	13051	5863
345	13088	5825
346	13127	5788
347	13168	5751
348	13206	5714
349	13246	5676
350	13285	5639
351	13322	5601
352	13360	5563
353	13397	5525
354	13434	5487
355	13471	5448
356	13509	5411
357	13547	5373
358	13586	5336
359	13623	5298
360	13662	5260
361	13698	5222
362	13733	5183
363	13771	5145
364	13808	5107
365	13843	5068
366	13878	5029
367	13917	4992
368	13953	4953
369	13989	4915
370	14026	4877
371	14063	4839
372	14102	4801
373	14138	4763
374	14174	4724
375	14212	4687
376	14248	4648
377	14284	4610
378	14321	4572
379	14358	4534
380	14396	4496
381	14433	4458
382	14472	4421
383	14506	4382
384	14544	4344
385	14585	4307
386	14623	4270
387	14660	4231
388	14698	4194
389	14735	4156
390	14774	4118
391	14815	4081
392	14853	4044
393	14892	4006
394	14929	3968
395	14967	3930
396	15005	3893
397	15045	3855
398	15082	3817
399	15120	3780
400	15158	3742
401	15196	3704
402	15236	3667
403	15275	3629
404	15313	3592
405	15352	3554
406	15391	3516
407	15435	3480
408	15474	3443
409	15513	3405
410	15556	3368
411	15593	3330
412	15631	3292
413	15671	3255
414	15708	3217
415	15746	3179
416	15785	3142
417	15823	3104
418	15860	3066
419	15899	3028
420	15934	2990
421	15968	2951
422	16004	2913
423	16039	2874
424	16075	2836
425	16110	2798
426	16145	2760
427	16181	2722
